# Theta        Phi         Effective-Mass   Fermi_Velocity   Fitting-Precision
 137.65      300.00            0.076           0.688E+06         0.88E-04
 137.65      310.00            0.076           0.687E+06         0.89E-04
 137.65      320.00            0.076           0.687E+06         0.89E-04
 137.65      330.00            0.076           0.688E+06         0.88E-04
 137.65      340.00            0.075           0.690E+06         0.88E-04
 137.65      350.00            0.075           0.692E+06         0.87E-04
 137.65      360.00            0.075           0.692E+06         0.87E-04
 148.24        0.00            0.073           0.697E+06         0.84E-04
 148.24       10.00            0.074           0.697E+06         0.85E-04
 148.24       20.00            0.074           0.697E+06         0.85E-04
 148.24       30.00            0.074           0.696E+06         0.85E-04
 148.24       40.00            0.074           0.695E+06         0.85E-04
 148.24       50.00            0.074           0.695E+06         0.85E-04
 148.24       60.00            0.074           0.696E+06         0.85E-04
 148.24       70.00            0.074           0.697E+06         0.85E-04
 148.24       80.00            0.074           0.697E+06         0.85E-04
 148.24       90.00            0.073           0.697E+06         0.84E-04
 148.24      100.00            0.074           0.697E+06         0.85E-04
 148.24      110.00            0.074           0.697E+06         0.85E-04
 148.24      120.00            0.074           0.696E+06         0.85E-04
 148.24      130.00            0.074           0.695E+06         0.85E-04
 148.24      140.00            0.074           0.695E+06         0.85E-04
 148.24      150.00            0.074           0.696E+06         0.85E-04
 148.24      160.00            0.074           0.697E+06         0.85E-04
 148.24      170.00            0.074           0.697E+06         0.85E-04
 148.24      180.00            0.073           0.697E+06         0.84E-04
 148.24      190.00            0.074           0.697E+06         0.85E-04
 148.24      200.00            0.074           0.697E+06         0.85E-04
 148.24      210.00            0.074           0.696E+06         0.85E-04
 148.24      220.00            0.074           0.695E+06         0.85E-04
 148.24      230.00            0.074           0.695E+06         0.85E-04
 148.24      240.00            0.074           0.696E+06         0.85E-04
 148.24      250.00            0.074           0.697E+06         0.85E-04
 148.24      260.00            0.074           0.697E+06         0.85E-04
 148.24      270.00            0.073           0.697E+06         0.84E-04
 148.24      280.00            0.074           0.697E+06         0.85E-04
 148.24      290.00            0.074           0.697E+06         0.85E-04
 148.24      300.00            0.074           0.696E+06         0.85E-04
 148.24      310.00            0.074           0.695E+06         0.85E-04
 148.24      320.00            0.074           0.695E+06         0.85E-04
 148.24      330.00            0.074           0.696E+06         0.85E-04
 148.24      340.00            0.074           0.697E+06         0.85E-04
 148.24      350.00            0.074           0.697E+06         0.85E-04
 148.24      360.00            0.073           0.697E+06         0.84E-04
 158.82        0.00            0.071           0.707E+06         0.81E-04
 158.82       10.00            0.071           0.707E+06         0.81E-04
 158.82       20.00            0.071           0.707E+06         0.81E-04
 158.82       30.00            0.071           0.706E+06         0.81E-04
 158.82       40.00            0.071           0.706E+06         0.81E-04
 158.82       50.00            0.071           0.706E+06         0.81E-04
 158.82       60.00            0.071           0.706E+06         0.81E-04
 158.82       70.00            0.071           0.707E+06         0.81E-04
 158.82       80.00            0.071           0.707E+06         0.81E-04
 158.82       90.00            0.071           0.707E+06         0.81E-04
 158.82      100.00            0.071           0.707E+06         0.81E-04
 158.82      110.00            0.071           0.707E+06         0.81E-04
 158.82      120.00            0.071           0.706E+06         0.81E-04
 158.82      130.00            0.071           0.706E+06         0.81E-04
 158.82      140.00            0.071           0.706E+06         0.81E-04
 158.82      150.00            0.071           0.706E+06         0.81E-04
 158.82      160.00            0.071           0.707E+06         0.81E-04
 158.82      170.00            0.071           0.707E+06         0.81E-04
 158.82      180.00            0.071           0.707E+06         0.81E-04
 158.82      190.00            0.071           0.707E+06         0.81E-04
 158.82      200.00            0.071           0.707E+06         0.81E-04
 158.82      210.00            0.071           0.706E+06         0.81E-04
 158.82      220.00            0.071           0.706E+06         0.81E-04
 158.82      230.00            0.071           0.706E+06         0.81E-04
 158.82      240.00            0.071           0.706E+06         0.81E-04
 158.82      250.00            0.071           0.707E+06         0.81E-04
 158.82      260.00            0.071           0.707E+06         0.81E-04
 158.82      270.00            0.071           0.707E+06         0.81E-04
 158.82      280.00            0.071           0.707E+06         0.81E-04
 158.82      290.00            0.071           0.707E+06         0.81E-04
 158.82      300.00            0.071           0.706E+06         0.81E-04
 158.82      310.00            0.071           0.706E+06         0.81E-04
 158.82      320.00            0.071           0.706E+06         0.81E-04
 158.82      330.00            0.071           0.706E+06         0.81E-04
 158.82      340.00            0.071           0.707E+06         0.81E-04
 158.82      350.00            0.071           0.707E+06         0.81E-04
 158.82      360.00            0.071           0.707E+06         0.81E-04
 169.41        0.00            0.069           0.715E+06         0.78E-04
 169.41       10.00            0.069           0.715E+06         0.78E-04
 169.41       20.00            0.069           0.715E+06         0.78E-04
 169.41       30.00            0.069           0.715E+06         0.78E-04
 169.41       40.00            0.069           0.715E+06         0.78E-04
 169.41       50.00            0.069           0.715E+06         0.78E-04
 169.41       60.00            0.069           0.715E+06         0.78E-04
 169.41       70.00            0.069           0.715E+06         0.78E-04
 169.41       80.00            0.069           0.715E+06         0.78E-04
 169.41       90.00            0.069           0.715E+06         0.78E-04
 169.41      100.00            0.069           0.715E+06         0.78E-04
 169.41      110.00            0.069           0.715E+06         0.78E-04
 169.41      120.00            0.069           0.715E+06         0.78E-04
 169.41      130.00            0.069           0.715E+06         0.78E-04
 169.41      140.00            0.069           0.715E+06         0.78E-04
 169.41      150.00            0.069           0.715E+06         0.78E-04
 169.41      160.00            0.069           0.715E+06         0.78E-04
 169.41      170.00            0.069           0.715E+06         0.78E-04
 169.41      180.00            0.069           0.715E+06         0.78E-04
 169.41      190.00            0.069           0.715E+06         0.78E-04
 169.41      200.00            0.069           0.715E+06         0.78E-04
 169.41      210.00            0.069           0.715E+06         0.78E-04
 169.41      220.00            0.069           0.715E+06         0.78E-04
 169.41      230.00            0.069           0.715E+06         0.78E-04
 169.41      240.00            0.069           0.715E+06         0.78E-04
 169.41      250.00            0.069           0.715E+06         0.78E-04
 169.41      260.00            0.069           0.715E+06         0.78E-04
 169.41      270.00            0.069           0.715E+06         0.78E-04
 169.41      280.00            0.069           0.715E+06         0.78E-04
 169.41      290.00            0.069           0.715E+06         0.78E-04
 169.41      300.00            0.069           0.715E+06         0.78E-04
 169.41      310.00            0.069           0.715E+06         0.78E-04
 169.41      320.00            0.069           0.715E+06         0.78E-04
 169.41      330.00            0.069           0.715E+06         0.78E-04
 169.41      340.00            0.069           0.715E+06         0.78E-04
 169.41      350.00            0.069           0.715E+06         0.78E-04
 169.41      360.00            0.069           0.715E+06         0.78E-04
 180.00        0.00            0.069           0.719E+06         0.76E-04
 180.00       10.00            0.069           0.719E+06         0.76E-04
 180.00       20.00            0.069           0.719E+06         0.76E-04
 180.00       30.00            0.069           0.719E+06         0.76E-04
 180.00       40.00            0.069           0.719E+06         0.76E-04
 180.00       50.00            0.069           0.719E+06         0.76E-04
 180.00       60.00            0.069           0.719E+06         0.76E-04
 180.00       70.00            0.069           0.719E+06         0.76E-04
 180.00       80.00            0.069           0.719E+06         0.76E-04
 180.00       90.00            0.069           0.719E+06         0.76E-04
 180.00      100.00            0.069           0.719E+06         0.76E-04
 180.00      110.00            0.069           0.719E+06         0.76E-04
 180.00      120.00            0.069           0.719E+06         0.76E-04
 180.00      130.00            0.069           0.719E+06         0.76E-04
 180.00      140.00            0.069           0.719E+06         0.76E-04
 180.00      150.00            0.069           0.719E+06         0.76E-04
 180.00      160.00            0.069           0.719E+06         0.76E-04
 180.00      170.00            0.069           0.719E+06         0.76E-04
 180.00      180.00            0.069           0.719E+06         0.76E-04
 180.00      190.00            0.069           0.719E+06         0.76E-04
 180.00      200.00            0.069           0.719E+06         0.76E-04
 180.00      210.00            0.069           0.719E+06         0.76E-04
 180.00      220.00            0.069           0.719E+06         0.76E-04
 180.00      230.00            0.069           0.719E+06         0.76E-04
 180.00      240.00            0.069           0.719E+06         0.76E-04
 180.00      250.00            0.069           0.719E+06         0.76E-04
 180.00      260.00            0.069           0.719E+06         0.76E-04
 180.00      270.00            0.069           0.719E+06         0.76E-04
 180.00      280.00            0.069           0.719E+06         0.76E-04
 180.00      290.00            0.069           0.719E+06         0.76E-04
 180.00      300.00            0.069           0.719E+06         0.76E-04
 180.00      310.00            0.069           0.719E+06         0.76E-04
 180.00      320.00            0.069           0.719E+06         0.76E-04
 180.00      330.00            0.069           0.719E+06         0.76E-04
 180.00      340.00            0.069           0.719E+06         0.76E-04
 180.00      350.00            0.069           0.719E+06         0.76E-04
 180.00      360.00            0.069           0.719E+06         0.76E-04
